Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1458.077747
FDW14,OUT017,1211.08416
NCN55,OUT010,499.1034129
FDQ58,OUT017,2180.419197
FDY38,OUT027,5613.237004
FDH56,OUT046,1682.21202
FDL48,OUT018,675.822095
FDC48,OUT027,1971.766456
FDN33,OUT045,1404.196809
FDA36,OUT017,2649.515911
FDT44,OUT017,1682.21202
FDQ56,OUT045,1209.984128
NCC54,OUT019,512.6426624
FDU11,OUT049,1752.609198
DRL59,OUT013,734.3979713
FDM24,OUT049,2172.260581
FDI57,OUT045,2697.394856
DRC12,OUT018,2657.383379
NCM42,OUT027,2508.093747
FDA46,OUT010,453.6138883
FDA31,OUT013,2578.238132
NCJ31,OUT035,3464.325501
FDG52,OUT046,687.1625001
NCL19,OUT019,309.0673497
FDS10,OUT035,2617.091591
FDX22,OUT010,459.1168816
NCF19,OUT035,686.0822251
NCE06,OUT046,2355.984112
DRC27,OUT046,3464.325501
FDE21,OUT035,1679.559767
NCR42,OUT019,63.52461888
FDX51,OUT018,2657.383379
NCR06,OUT018,518.0068748
FDU31,OUT027,5487.593139
FDU59,OUT017,2480.680793
FDR03,OUT027,5452.622186
FDS49,OUT027,2039.435837
FDD48,OUT010,239.408022
NCF18,OUT017,2657.383379
NCD43,OUT027,2403.419528
NCD54,OUT018,1998.903976
FDY19,OUT010,213.1641911
NCY54,OUT017,2578.238132
NCL19,OUT018,2160.401153
FDP23,OUT010,465.7656601
FDC26,OUT013,1624.891037
FDR14,OUT010,158.2565515
NCS41,OUT035,2648.206335
FDF41,OUT035,3464.325501
FDU34,OUT046,1767.070156
DRH11,OUT046,767.0243259
FDM03,OUT013,1461.359766
FDS31,OUT017,2625.739307
FDJ20,OUT017,1755.416324
FDV44,OUT027,4634.917179
FDG02,OUT049,2652.824026
FDA09,OUT013,2593.290035
FDT04,OUT013,553.3154971
FDL58,OUT019,543.0405556
FDE52,OUT045,1242.326803
FDW12,OUT035,2160.401153
FDL51,OUT017,3301.239658
NCY42,OUT027,3304.476798
FDR07,OUT017,1398.402636
FDN40,OUT045,2174.132033
FDB35,OUT027,2374.873349
FDA22,OUT017,2488.984153
NCL06,OUT046,3468.186999
FDI35,OUT013,2625.739307
NCW42,OUT045,3415.309538
NCX06,OUT049,2593.290035
FDC37,OUT027,2459.007792
FDZ14,OUT018,1755.416324
DRG49,OUT049,3464.325501
NCG06,OUT045,3468.186999
DRC36,OUT045,2578.238132
FDV21,OUT019,258.761941
FDB53,OUT046,2163.81872
DRP47,OUT019,540.0094288
FDA14,OUT013,2160.401153
DRC24,OUT035,2174.132033
FDW21,OUT018,1465.553367
NCH29,OUT046,1411.991188
FDU58,OUT013,2652.824026
FDY27,OUT017,2582.074565
FDV56,OUT035,1475.475689
FDT59,OUT046,3464.325501
FDB23,OUT046,3438.024015
FDR49,OUT045,685.0920663
FDB03,OUT010,522.3485606
FDN39,OUT045,2488.984153
FDX02,OUT027,5596.64735
FDQ16,OUT027,2461.672599
FDU35,OUT018,1418.792586
NCT29,OUT013,1755.416324
FDZ27,OUT046,687.1625001
FDN57,OUT017,1925.623261
FDA03,OUT018,2160.401153
FDZ36,OUT045,2648.206335
NCU05,OUT013,1186.255357
FDT39,OUT018,2172.260581
FDK60,OUT017,1402.268129
FDZ25,OUT017,2538.075162
FDG12,OUT046,1755.416324
DRB01,OUT019,444.3428683
NCC43,OUT027,5624.869676
FDX13,OUT019,493.2939839
FDM22,OUT049,757.4360461
FDJ03,OUT027,1271.310099
FDU14,OUT018,3459.365781
FDB33,OUT010,370.9270742
FDP27,OUT046,2655.285915
FDO38,OUT010,144.1834799
FDE28,OUT027,5563.912492
FDO27,OUT035,1404.196809
DRL23,OUT027,2432.055063
FDS28,OUT046,767.0243259
FDX24,OUT013,1255.62683
FDZ02,OUT035,1402.909083
FDL46,OUT045,1682.21202
FDS60,OUT027,4321.494872
NCO06,OUT017,539.8451834
FDO16,OUT035,1209.440092
FDC60,OUT049,1219.159702
FDA48,OUT018,3388.106564
FDZ36,OUT027,4569.221881
FDK27,OUT045,1753.942575
FDW23,OUT018,501.398745
FDM14,OUT018,1549.535645
FDM14,OUT013,1463.805581
FDW60,OUT018,2582.074565
FDE21,OUT013,1678.56634
NCM42,OUT035,1500.444549
FDY59,OUT010,175.4087229
DRI49,OUT049,1187.115094
FDT28,OUT019,299.7112657
FDQ22,OUT018,503.5591831
FDR60,OUT049,1178.506131
FDC50,OUT019,210.9937603
FDV24,OUT013,2172.260581
DRF48,OUT010,471.0330231
FDQ47,OUT046,548.1556002
DRN36,OUT049,1402.268129
NCY06,OUT035,1787.372851
FDE52,OUT035,1240.7745
NCB54,OUT045,1773.948394
NCF31,OUT035,2174.132033
FDJ08,OUT027,4672.904221
NCC07,OUT017,1458.993107
NCD19,OUT027,1589.708052
FDL46,OUT049,1683.774641
FDM20,OUT045,3464.325501
NCI06,OUT010,339.0384015
DRM11,OUT035,3470.557441
NCH07,OUT018,2280.751143
FDS23,OUT013,1824.288555
FDO49,OUT018,665.710115
FDS35,OUT049,955.4047521
DRK39,OUT045,1200.645498
DRI39,OUT049,767.0243259
FDV04,OUT017,2280.751143
NCN14,OUT035,2643.191198
FDH08,OUT013,3462.256134
FDS20,OUT046,2648.206335
FDV40,OUT049,1110.997521
FDZ48,OUT010,228.3355597
FDS24,OUT027,2240.23994
FDK44,OUT049,2578.238132
FDS48,OUT045,2172.260581
FDK26,OUT010,482.3629049
FDD23,OUT045,2652.824026
NCH54,OUT017,2357.782882
NCP14,OUT010,209.0725816
FDM60,OUT010,63.64402539
FDV24,OUT017,2172.260581
FDH08,OUT018,3457.177591
FDS12,OUT027,3209.783244
FDR39,OUT027,4386.797568
FDP12,OUT027,868.6191676
DRF60,OUT027,5528.88265
FDC09,OUT035,1459.99221
FDF50,OUT018,2679.095593
FDG28,OUT035,3464.325501
NCE19,OUT017,767.0243259
NCM53,OUT010,220.5397983
NCN18,OUT049,1566.095523
FDF32,OUT035,2711.673662
FDF11,OUT013,3462.256134
DRI59,OUT049,3442.60939
NCG54,OUT035,2538.075162
FDM44,OUT046,1459.996751
FDT57,OUT018,3455.480497
FDV24,OUT046,2172.260581
FDI50,OUT019,484.3777529
FDS09,OUT035,716.3974861
NCC31,OUT027,3342.837054
FDQ07,OUT019,449.1645226
FDC22,OUT017,2657.383379
FDZ56,OUT046,2538.075162
FDZ40,OUT019,158.6705766
FDS46,OUT027,2872.085094
DRD24,OUT045,1935.7675
FDV45,OUT017,2652.824026
FDL26,OUT045,2198.486795
FDA56,OUT018,1755.416324
FDN27,OUT046,1682.21202
FDM20,OUT049,3464.325501
FDO16,OUT017,1208.651493
FDL03,OUT035,2657.383379
FDE58,OUT046,1682.21202
FDI02,OUT027,2833.725735
NCC55,OUT019,69.71036595
FDR03,OUT018,3101.542085
FDB14,OUT017,1257.369004
FDR45,OUT013,3460.556548
NCN07,OUT017,1841.011761
FDM51,OUT019,229.2639695
FDT52,OUT027,5566.882614
FDL26,OUT046,2180.419197
NCZ42,OUT046,3457.348174
DRI47,OUT019,373.7994018
FDW40,OUT013,1940.111957
FDN34,OUT046,2538.075162
FDS01,OUT035,2582.074565
NCG55,OUT045,1677.23815
FDC11,OUT035,1204.584743
FDX35,OUT018,3445.565202
NCB06,OUT046,2297.546861
FDR09,OUT019,553.5315008
FDC53,OUT017,1403.790016
FDY45,OUT013,3462.746876
FDA22,OUT010,329.9475411
FDE02,OUT035,1402.909083
FDW21,OUT045,1468.526058
FDV34,OUT046,1092.578268
FDS59,OUT049,1499.426855
NCW17,OUT017,1787.372851
NCK54,OUT046,1682.21202
FDG17,OUT019,486.1125106
FDG35,OUT017,2578.238132
FDD08,OUT010,64.32095651
NCO07,OUT017,3290.680648
FDJ10,OUT010,263.7773113
FDW36,OUT017,1460.983156
